id,bedrooms,bathrooms,tenure,garden,street,size_sqft,price_pounds,nearest_station_name,nearest_station_miles,postcode_outer
132180206,5,4,freehold,0,"Ladbroke Grove, London",,10500000,Holland Park Station,0.2,
134996630,6,5,freehold,0,"Murray Road, Wimbledon Village, SW19",,8950000,Wimbledon Station,0.3,SW19
134169233,7,5,freehold,1,"Southside Common, Wimbledon Village, SW19",,11950000,Wimbledon Station,0.7,SW19
132180206,5,4,freehold,0,"Ladbroke Grove, London",,10500000,Holland Park Station,0.2,
134996630,6,5,freehold,0,"Murray Road, Wimbledon Village, SW19",,8950000,Wimbledon Station,0.3,SW19
134169233,7,5,freehold,1,"Southside Common, Wimbledon Village, SW19",,11950000,Wimbledon Station,0.7,SW19
124365635,6,6,freehold,1,"Chesterfield Hill, London, W1J",4460,10950000,Green Park Station,0.3,W1J
132654419,6,4,freehold,1,"Cottesmore Gardens, London, W8",,18500000,High Street Kensington Station,0.3,W8
125741042,3,3,leasehold,0,"The Regents Crescent, Park Crescent West, Marylebone, London, W1B",,8950000,Regent's Park Station,0,W1B
125069459,6,6,freehold,1,"Wilton Street, Belgravia, SW1X",4563,11750000,Hyde Park Corner Station,0.3,SW1X
136488719,6,5,freehold,1,"Highwood Lodge Farm Estate, Highwood Hill, London, NW7",,20000000,Mill Hill Broadway Station,1.1,NW7
134329280,6,7,leasehold,0,"Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",,43700000,Hyde Park Corner Station,0.1,SW1X
132180206,5,4,freehold,0,"Ladbroke Grove, London",,10500000,Holland Park Station,0.2,
134996630,6,5,freehold,0,"Murray Road, Wimbledon Village, SW19",,8950000,Wimbledon Station,0.3,SW19
134169233,7,5,freehold,1,"Southside Common, Wimbledon Village, SW19",,11950000,Wimbledon Station,0.7,SW19
124365635,6,6,freehold,1,"Chesterfield Hill, London, W1J",4460,10950000,Green Park Station,0.3,W1J
132654419,6,4,freehold,1,"Cottesmore Gardens, London, W8",,18500000,High Street Kensington Station,0.3,W8
125741042,3,3,leasehold,0,"The Regents Crescent, Park Crescent West, Marylebone, London, W1B",,8950000,Regent's Park Station,0,W1B
125069459,6,6,freehold,1,"Wilton Street, Belgravia, SW1X",4563,11750000,Hyde Park Corner Station,0.3,SW1X
136488719,6,5,freehold,1,"Highwood Lodge Farm Estate, Highwood Hill, London, NW7",,20000000,Mill Hill Broadway Station,1.1,NW7
134329280,6,7,leasehold,0,"Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",,43700000,Hyde Park Corner Station,0.1,SW1X
133352759,5,4,leasehold,0,"Chelsea Creek Tower, Chelsea Creek, SW6",3599,6500000,Imperial Wharf Station,0.1,SW6
134251604,3,3,leasehold,2,"Onslow Gardens, South Kensington, London, SW7",,6950000,South Kensington Station,0.3,SW7
135167453,,,leasehold,3,"Hampstead, NW3",,20000000,Hampstead Station,0.3,NW3
134173892,3,3,leasehold,0,"Lowndes Square, Knightsbridge, London, SW1X",,6400000,Knightsbridge Station,0.1,SW1X
134474939,4,4,freehold,0,"Pear Tree Street, London, EC1V",4161,6950000,Barbican Station,0.4,EC1V
129771491,4,3,leasehold,0,"1 Palace Gate, London",2880,6950000,High Street Kensington Station,0.4,
128135639,5,4,leasehold,0,"Duke Street, 
Mayfair, W1K",3466,8450000,Bond Street Station,0.1,W1K
129333710,6,8,freehold,1,"Claremont Park, Esher, Surrey, KT10",,7950000,Claygate Station,0.9,KT10
134618414,3,3,share of freehold,1,"King Street, St James's, London, SW1Y.",,8750000,Piccadilly Circus Station,0.2,W1Y.
135746777,9,6,freehold,2,"Frognal, Hampstead Village",,22000000,Hampstead Station,0.2,
125632259,4,4,leasehold,2,"Lillie Square, Seagrave Road, London, SW6 1GA.",,7250000,West Brompton Station,0.1,1GA.
128781077,6,4,freehold,1,"Cheyne Row, Chelsea, London, SW3",,6450000,South Kensington Station,0.7,SW3
132527951,4,4,leasehold,0,"St. Mary Abbots Place, London, W8",2763,9500000,Kensington Olympia Station,0.3,W8
132527951,4,4,leasehold,0,"St. Mary Abbots Place, London, W8",2763,9500000,Kensington Olympia Station,0.3,W8
132390830,3,3,leasehold,2,"Apartment 20, Regent's Crescent, 27 Park Crescent, London, W1B",2146,9450000,Regent's Park Station,0,W1B
110037263,5,5,leasehold,0,"Cambridge Gate, Regents Park, London, NW1",,25500000,Great Portland Street Station,0.2,NW1
85301866,6,6,leasehold,0,"Eaton Place, Belgravia, London, SW1X",,19950000,Hyde Park Corner Station,0.3,SW1X
128882795,3,3,leasehold,0,"2 Principal Place, Worship Street, London",,9500000,Shoreditch High Street Station,0.2,
136807226,3,2,freehold,1,"Wellington Avenue, Chingford",,650000,Chingford Station,1.2,
114372095,4,3,leasehold,3,"Residence 23, Lancer Square, Kensington Church Street, London, W8",3117,15020000,High Street Kensington Station,0.2,W8
136450523,3,3,leasehold,1,"Grosvenor Square, Mayfair, London, W1K",,22900000,Bond Street Station,0.2,W1K
136450523,3,3,leasehold,1,"Grosvenor Square, Mayfair, London, W1K",,22900000,Bond Street Station,0.2,W1K
136450523,3,3,leasehold,1,"Grosvenor Square, Mayfair, London, W1K",,22900000,Bond Street Station,0.2,W1K
133128575,3,3,leasehold,0,"The Mellier, Albemarle Street, Mayfair, W1S",3500,14000000,Green Park Station,0.4,W1S
122351189,3,,leasehold,0,"Moxon Street, W1U",1831,9117000,Bond Street Station,0.3,W1U
134479895,6,7,freehold,1,"Theobald Street, Radlett, Hertfordshire, WD7",,9950000,Radlett Station,0.9,WD7
136631420,3,3,leasehold,2,"15 Indescon Square, Canary Wharf, London, E14",,795000,South Quay Station,0.2,E14
124514705,3,4,ask agent,1,"Boiler House, Battersea Power Station",,9200000,Battersea Power Underground Station,0.2,
86130159,4,4,freehold,0,"Moore Street, SW3",,7650000,Sloane Square Station,0.3,SW3
135126512,6,4,freehold,0,"Regent's Park Road, Primrose Hill, London, NW1",,7500000,Camden Town Station,0.4,NW1
132217055,5,2,freehold,0,"Willow Bridge Road, London, N1",,6750000,Essex Road Station,0.2,N1
132749876,7,6,freehold,1,"Lingfield Road, Wimbledon, London, SW19",5683,8750000,Wimbledon Station,0.6,SW19
116783558,2,2,leasehold,0,"Lancelot Place, Knightsbridge, London, SW7",,6950000,Knightsbridge Station,0.1,SW7
127931210,4,5,share of freehold,0,"Connaught Place, Connaught Village, London, W2",3650,15000000,Marble Arch Station,0.1,W2
113431481,5,5,leasehold,2,"Cambridge Gate, Regent's Park, London, NW1",4388,8500000,Great Portland Street Station,0.2,NW1
122351207,3,2,leasehold,0,"Moxon Street, W1U",2042,7695000,Bond Street Station,0.3,W1U
131511062,4,5,leasehold,0,"One St. John's Wood, St. John's Wood, London, NW8",2661,7250000,Edgware Road (Bakerloo) Station,0.9,NW8
136419338,24,,freehold,0,"119 & 121 Warwick Road, Earl's Court, London, Kensington and Chelsea, SW5 9EF",,8500000,Earls Court Station,0.3,9EF
124395656,4,4,freehold,0,"Wilton Street, London, SW1X",2942,8950000,Hyde Park Corner Station,0.3,SW1X
134386673,5,5,freehold,0,"Clifton Hill, St John's Wood, London, NW8",,6500000,South Hampstead Station,0.3,NW8
135106937,3,4,leasehold,0,"The Hanover, The Westin Residences, London, EC4V",2893,6250000,Mansion House Station,0.1,EC4V
134400281,7,5,freehold,0,"Addison Road, London, W14",6557,15000000,Kensington Olympia Station,0.2,W14
132753140,5,4,freehold,0,"Wilton Street, Belgravia, London, SW1X",4399,9650000,Victoria Station,0.3,SW1X
